odi:Story	odi:hasTitle	odi:hasTotalNumberOfCards	odi:hasCard
storiaUno	Storia dell'ingrato punito	18	cavaliere-di-coppe-storiaUno
storiaUno	Storia dell'ingrato punito	18	re-di-denari-storiaUno
storiaUno	Storia dell'ingrato punito	18	dieci-di-denari-storiaUno
storiaUno	Storia dell'ingrato punito	18	nove-di-bastoni-storiaUno
storiaUno	Storia dell'ingrato punito	18	la-forza-storiaUno
storiaUno	Storia dell'ingrato punito	18	il-penduto-storiaUno
storiaUno	Storia dell'ingrato punito	18	la-temperanza-storiaUno
storiaUno	Storia dell'ingrato punito	18	asso-di-coppe-storiaUno
storiaUno	Storia dell'ingrato punito	18	due-di-coppe-storiaUno
storiaUno	Storia dell'ingrato punito	18	sette-di-bastoni-storiaUno
storiaUno	Storia dell'ingrato punito	18	la-imperatrice-storiaUno
storiaUno	Storia dell'ingrato punito	18	otto-di-coppe-storiaUno
storiaUno	Storia dell'ingrato punito	18	cavaliere-di-spade-storiaUno
storiaUno	Storia dell'ingrato punito	18	il-sole-storiaUno
storiaUno	Storia dell'ingrato punito	18	la-giustizia-storiaUno
storiaUno	Storia dell'ingrato punito	18	due-di-spade-storiaUno
storiaUno	Storia dell'ingrato punito	18	la-papessa-storiaUno
storiaUno	Storia dell'ingrato punito	18	otto-di-spade-storiaUno
storiaDue	Storia dell'alchimista che vendette l'anima	16	re-di-coppe-storiaDue
storiaDue	Storia dell'alchimista che vendette l'anima	16	asso-di-coppe-storiaDue
storiaDue	Storia dell'alchimista che vendette l'anima	16	la-papessa-storiaDue
storiaDue	Storia dell'alchimista che vendette l'anima	16	otto-di-bastoni-storiaDue
storiaDue	Storia dell'alchimista che vendette l'anima	16	lo-imperatore-storiaDue
storiaDue	Storia dell'alchimista che vendette l'anima	16	il-bagatto-storiaDue
storiaDue	Storia dell'alchimista che vendette l'anima	16	sette-di-denari-storiaDue
storiaDue	Storia dell'alchimista che vendette l'anima	16	due-di-denari-storiaDue
storiaDue	Storia dell'alchimista che vendette l'anima	16	il-diavolo-storiaDue
storiaDue	Storia dell'alchimista che vendette l'anima	16	la-stella-storiaDue
storiaDue	Storia dell'alchimista che vendette l'anima	16	cinque-di-coppe-storiaDue
storiaDue	Storia dell'alchimista che vendette l'anima	16	la-ruota-della-fortuna-storiaDue
storiaDue	Storia dell'alchimista che vendette l'anima	16	nove-di-coppe-storiaDue
storiaDue	Storia dell'alchimista che vendette l'anima	16	sei-di-denari-storiaDue
storiaDue	Storia dell'alchimista che vendette l'anima	16	due-di-spade-storiaDue
storiaDue	Storia dell'alchimista che vendette l'anima	16	la-temperanza-storiaDue
storiaTre	Storia della sposa dannata	17	fante-di-spade-storiaTre
storiaTre	Storia della sposa dannata	17	sei-di-bastoni-storiaTre
storiaTre	Storia della sposa dannata	17	sette-di-denari-storiaTre
storiaTre	Storia della sposa dannata	17	la-stella-storiaTre
storiaTre	Storia della sposa dannata	17	sette-di-spade-storiaTre
storiaTre	Storia della sposa dannata	17	regina-di-spade-storiaTre
storiaTre	Storia della sposa dannata	17	due-di-spade-storiaTre
storiaTre	Storia della sposa dannata	17	otto-di-denari-storiaTre
storiaTre	Storia della sposa dannata	17	sei-di-coppe-storiaTre
storiaTre	Storia della sposa dannata	17	quattro-di-denari-storiaTre
storiaTre	Storia della sposa dannata	17	il-papa-storiaTre
storiaTre	Storia della sposa dannata	17	la-morte-storiaTre
storiaTre	Storia della sposa dannata	17	dieci-di-spade-storiaTre
storiaTre	Storia della sposa dannata	17	cinque-di-bastoni-storiaTre
storiaTre	Storia della sposa dannata	17	il-diavolo-storiaTre
storiaTre	Storia della sposa dannata	17	due-di-denari-storiaTre
storiaTre	Storia della sposa dannata	17	quattro-di-spade-storiaTre
storiaQuattro	Storia d'un ladro di sepolcri	16	fante-di-denari-storiaQuattro
storiaQuattro	Storia d'un ladro di sepolcri	16	la-morte-storiaQuattro
storiaQuattro	Storia d'un ladro di sepolcri	16	il-papa-storiaQuattro
storiaQuattro	Storia d'un ladro di sepolcri	16	otto-di-denari-storiaQuattro
storiaQuattro	Storia d'un ladro di sepolcri	16	due-di-bastoni-storiaQuattro
storiaQuattro	Storia d'un ladro di sepolcri	16	asso-di-bastoni-storiaQuattro
storiaQuattro	Storia d'un ladro di sepolcri	16	dieci-di-coppe-storiaQuattro
storiaQuattro	Storia d'un ladro di sepolcri	16	il-giudizio-storiaQuattro
storiaQuattro	Storia d'un ladro di sepolcri	16	il-mondo-storiaQuattro
storiaQuattro	Storia d'un ladro di sepolcri	16	la-torre-storiaQuattro
storiaQuattro	Storia d'un ladro di sepolcri	16	nove-di-denari-storiaQuattro
storiaQuattro	Storia d'un ladro di sepolcri	16	sei-di-spade-storiaQuattro
storiaQuattro	Storia d'un ladro di sepolcri	16	otto-di-coppe-storiaQuattro
storiaQuattro	Storia d'un ladro di sepolcri	16	cavaliere-di-spade-storiaQuattro
storiaQuattro	Storia d'un ladro di sepolcri	16	dieci-di-denari-storiaQuattro
storiaQuattro	Storia d'un ladro di sepolcri	16	nove-di-bastoni-storiaQuattro
storiaCinque	Storia dell'Orlando pazzo per amore	17	re-di-spade-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	dieci-di-spade-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	regina-di-spade-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	dieci-di-bastoni-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	il-carro-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	lo-amore-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	fante-di-bastoni-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	il-sole-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	la-forza-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	cinque-di-bastoni-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	sette-di-spade-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	cinque-di-denari-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	la-luna-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	il-matto-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	tre-di-coppe-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	la-giustizia-storiaCinque
storiaCinque	Storia dell'Orlando pazzo per amore	17	il-penduto-storiaCinque
storiaSei	Storia di Astolfo sulla Luna	17	cavaliere-di-bastoni-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	asso-di-spade-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	lo-imperatore-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	nove-di-coppe-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	il-matto-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	lo-amore-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	il-mondo-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	la-torre-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	nove-di-spade-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	lo-eremita-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	il-giudizio-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	dieci-di-coppe-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	il-carro-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	la-luna-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	ruota-della-fortuna-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	il-bagatto-storiaSei
storiaSei	Storia di Astolfo sulla Luna	17	asso-di-denari-storiaSei